"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01001342: Bedwas, Trethomas and Machen ",1594,1348,1447,1027,1370,1400,1148,751,1543
"","W01001343: Bedwas, Trethomas and Machen ",1538,1373,1221,1284,1652,633,1377,1002,1811
"","W01001344: Bedwas, Trethomas and Machen ",916,902,861,283,1071,1767,1083,980,932
"","W01001345: Bedwas, Trethomas and Machen ",35,15,34,92,72,1236,33,1846,1056
"","W01001346: Bedwas, Trethomas and Machen ",1028,775,708,1193,926,1200,890,1676,1127
"","W01001347: Blackwood 1 ",1134,954,782,958,1103,1134,820,1605,1447
"","W01001348: Blackwood 2 ",314,220,253,450,279,1586,494,1263,656
"","W01001349: Blackwood 3 ",1476,1590,1447,293,1589,1190,1492,1469,1868
"","W01001350: Blackwood 4 ",814,716,708,465,871,1737,294,1568,1322
"","W01001351: Blackwood 5 ",1566,1611,1327,1292,1524,417,1301,1278,1713
"","W01001352: Cefn Fforest 1 ",311,296,183,265,322,1668,766,1068,1401
"","W01001353: Cefn Fforest 2 ",653,531,400,798,755,998,845,883,1476
"","W01001354: Crosskeys 1 ",1083,931,861,1049,1017,887,1027,932,1310
"","W01001355: Crosskeys 2 ",596,624,400,669,836,908,967,309,849
"","W01001356: Crumlin 1 ",1544,1447,1111,1030,1289,1197,1155,1746,1668
"","W01001357: Crumlin 2 ",1169,1270,1022,664,1241,433,1615,1105,1522
"","W01001358: Crumlin 3 ",235,271,183,173,215,819,667,1487,1100
"","W01001359: Crumlin 4 ",882,1059,782,425,870,879,946,1143,844
"","W01001360: Darren Valley 1 ",719,711,585,440,664,947,881,1820,1591
"","W01001361: Darren Valley 2 ",128,246,97,38,93,712,710,1442,1391
"","W01001362: Gilfach ",592,636,347,563,628,1419,407,1123,998
"","W01001363: Hengoed (Caerphilly) 1 ",525,496,585,422,376,967,894,387,1443
"","W01001364: Hengoed (Caerphilly) 2 ",48,97,73,2,38,1149,240,1289,847
"","W01001365: Hengoed (Caerphilly) 3 ",628,536,400,659,553,1322,583,1771,1590
"","W01001366: Llanbradach 1 ",949,980,861,1349,817,456,1439,290,1194
"","W01001367: Llanbradach 2 ",798,760,782,760,762,1294,631,433,564
"","W01001368: Llanbradach 3 ",465,363,456,254,558,1429,609,583,1408
"","W01001369: Maesycwmmer ",918,880,708,647,919,891,1515,1001,1239
"","W01001370: Morgan Jones 1 ",924,845,861,761,689,1410,568,653,1538
"","W01001371: Morgan Jones 2 ",255,230,253,381,226,752,705,349,930
"","W01001372: Morgan Jones 3 ",1059,1062,1022,1115,940,696,1199,174,1699
"","W01001373: Morgan Jones 4 ",883,936,782,864,838,1404,632,154,953
"","W01001374: Moriah 1 ",434,448,347,208,476,1096,716,1318,1210
"","W01001375: Moriah 2 ",252,402,120,119,579,1777,255,316,1196
"","W01001376: Moriah 3 ",64,76,27,101,125,1165,400,246,887
"","W01001377: Nelson 1 ",1137,1329,655,887,1022,1220,719,1166,1477
"","W01001378: Nelson 2 ",491,497,456,295,335,1554,361,1340,1537
"","W01001379: Nelson 3 ",1280,1021,1022,1020,905,1069,1146,1762,1748
"","W01001380: Newbridge 1 ",1117,1159,861,539,1152,1042,953,1388,1613
"","W01001381: Newbridge 2 ",112,136,120,88,48,847,440,1803,1240
"","W01001382: Newbridge 3 ",1182,1053,782,670,1232,1559,905,1673,1389
"","W01001383: Newbridge 4 ",984,806,655,1073,627,1796,913,1561,1269
"","W01001384: New Tredegar 1 ",488,554,295,444,457,1734,276,1657,665
"","W01001385: New Tredegar 2 ",312,431,223,189,245,1202,466,1740,1050
"","W01001386: New Tredegar 3 ",60,91,40,128,17,1660,135,746,1181
"","W01001387: Pengam 1 ",231,290,183,125,288,1010,375,862,980
"","W01001388: Pengam 2 ",439,248,400,655,461,912,529,969,1420
"","W01001389: Pengam 3 ",946,910,585,1059,939,1013,1019,695,1632
"","W01001390: Penmaen 1 ",1734,1656,1327,1270,1425,1224,1600,1397,1663
"","W01001391: Penmaen 2 ",767,924,708,258,561,1692,564,1542,1319
"","W01001392: Penmaen 3 ",1535,1551,1022,1378,1211,933,1143,1368,1787
"","W01001393: Penyrheol (Caerphilly) 1 ",499,508,400,853,276,1049,687,536,846
"","W01001394: Penyrheol (Caerphilly) 2 ",1830,1680,1560,1752,1469,860,1696,1786,1810
"","W01001395: Penyrheol (Caerphilly) 3 ",757,495,655,770,789,1522,748,963,919
"","W01001396: Penyrheol (Caerphilly) 4 ",138,117,183,108,186,1103,608,167,652
"","W01001397: Penyrheol (Caerphilly) 5 ",1012,941,861,1087,736,802,1075,1378,747
"","W01001398: Penyrheol (Caerphilly) 6 ",1748,1592,1560,1591,1653,974,1362,552,1887
"","W01001399: Penyrheol (Caerphilly) 7 ",1380,1260,1022,1609,978,1494,1178,430,1148
"","W01001400: Penyrheol (Caerphilly) 8 ",93,87,97,134,45,958,382,1155,1393
"","W01001401: Pontllanfraith 1 ",590,526,522,724,435,991,637,616,1193
"","W01001402: Pontllanfraith 2 ",316,236,295,524,227,1020,408,893,1180
"","W01001403: Pontllanfraith 3 ",871,960,708,544,773,1495,490,649,1501
"","W01001404: Pontllanfraith 4 ",1660,1701,1221,1829,1577,695,1399,559,1861
"","W01001405: Pontllanfraith 5 ",589,455,585,865,464,890,684,389,1246
"","W01001406: Pontlottyn ",243,394,120,159,334,1584,369,378,1491
"","W01001407: Risca East 1 ",1294,1213,1111,1319,1113,677,692,1421,891
"","W01001408: Risca East 2 ",410,276,456,549,383,921,550,972,338
"","W01001409: Risca East 3 ",1407,1154,1022,1623,1058,1460,889,780,1289
"","W01001410: Risca East 4 ",623,761,400,808,573,1271,156,838,1198
"","W01001411: Risca West 1 ",640,707,655,304,825,966,833,325,1055
"","W01001412: Risca West 2 ",816,752,655,1041,916,1760,672,96,877
"","W01001413: Risca West 3 ",607,728,522,517,668,922,923,110,1518
"","W01001414: St. Cattwg 1 ",185,260,73,253,330,787,206,1006,974
"","W01001415: St. Cattwg 2 ",558,778,522,224,539,1109,916,243,1541
"","W01001416: St. Cattwg 3 ",894,795,655,1079,777,872,817,979,1350
"","W01001417: St. Cattwg 4 ",1395,1415,1111,1479,1153,745,1456,302,1794
"","W01001418: St. Cattwg 5 ",269,432,223,117,321,651,556,784,1252
"","W01001419: St. James 1 ",951,1156,1022,1391,1162,101,1196,371,1287
"","W01001420: St. James 2 ",1324,1315,1221,1254,1472,1107,1122,74,1102
"","W01001421: St. James 3 ",2,8,7,6,24,1033,29,120,1088
"","W01001422: St. James 4 ",79,96,27,319,152,1238,51,185,1470
"","W01001423: St. Martins 1 ",1556,1666,1221,1614,1458,1029,1473,119,1708
"","W01001424: St. Martins 2 ",836,591,782,693,1131,1657,405,627,895
"","W01001425: St. Martins 3 ",1452,1215,1111,1246,1526,1403,1002,370,1595
"","W01001426: St. Martins 4 ",1617,1792,1447,1788,1677,421,1367,255,1813
"","W01001427: St. Martins 5 ",1797,1863,1761,1892,1812,576,1780,328,1881
"","W01001428: Twyn Carno 1 ",3,6,3,17,5,784,41,747,1293
"","W01001429: Twyn Carno 2 ",484,847,295,383,543,749,499,251,1486
"","W01001430: Ynysddu 1 ",384,504,708,84,438,495,553,347,1151
"","W01001431: Ynysddu 2 ",764,926,655,806,620,405,874,1259,816
"","W01001432: Ystrad Mynach 1 ",825,907,655,554,572,1257,1018,968,1349
"","W01001433: Ystrad Mynach 2 ",993,906,585,961,1065,1885,718,884,941
"","W01001434: Ystrad Mynach 3 ",1596,1800,1447,921,1585,936,1498,240,1858
"Blaenau Gwent ","",".",".",".",".",".",".",".",".","."
"Blaenau Gwent ","W01001435: Abertillery 1 ",468,579,456,234,466,1735,317,364,809
"","W01001436: Abertillery 2 ",438,430,223,711,604,1843,185,1052,355
"","W01001437: Abertillery 3 ",885,851,522,1024,648,1665,658,1510,1003
"","W01001438: Badminton 1 ",862,709,585,658,954,1303,1262,773,1723
"","W01001439: Badminton 2 ",1118,1232,861,820,889,962,727,928,1859
"","W01001440: Beaufort 1 ",519,576,347,424,665,522,711,1432,1682
"","W01001441: Beaufort 2 ",118,147,59,143,237,642,217,666,1568
"","W01001442: Beaufort 3 ",1141,1182,941,610,1352,1302,709,459,1435
"","W01001443: Blaina 1 ",295,425,153,405,327,1590,145,429,1174
"","W01001444: Blaina 2 ",427,451,400,301,242,1206,836,948,957
"","W01001445: Blaina 3 ",458,523,456,384,390,600,392,756,1203
"","W01001446: Brynmawr 1 ",818,955,941,206,1109,1261,788,278,1724
"","W01001447: Brynmawr 2 ",189,180,153,454,102,747,158,990,1689
"","W01001448: Brynmawr 3 ",793,964,585,652,746,1893,290,569,804
"","W01001449: Brynmawr 4 ",515,625,295,512,494,1731,352,572,1159
"","W01001450: Cwm 1 ",550,688,347,552,346,1550,954,331,1675
"","W01001451: Cwm 2 ",248,393,295,270,185,926,148,202,615
"","W01001452: Cwm 3 ",1219,1031,861,1107,1298,1006,1312,611,1578
"","W01001453: Cwmtillery 1 ",173,156,153,311,145,778,125,1152,1286
"","W01001454: Cwmtillery 2 ",452,561,522,264,352,611,621,1000,630
"","W01001455: Cwmtillery 3 ",407,412,295,269,605,1480,433,1228,271
"","W01001456: Ebbw Vale North 1 ",385,330,223,377,521,1470,449,1303,819
"","W01001457: Ebbw Vale North 2 ",54,40,40,249,25,734,133,1540,1456
"","W01001458: Ebbw Vale North 3 ",1026,1046,782,727,745,1373,676,1233,1656
"","W01001459: Ebbw Vale South 1 ",76,138,59,18,140,972,85,1614,1422
"","W01001460: Ebbw Vale South 2 ",621,792,456,497,718,773,301,1199,1066
"","W01001461: Ebbw Vale South 3 ",393,373,295,345,340,1762,173,1291,1348
"","W01001462: Georgetown 1 ",700,667,456,781,816,746,620,1227,1579
"","W01001463: Georgetown 2 ",1025,976,708,1061,794,1159,657,1350,1364
"","W01001464: Llanhilleth 1 ",163,219,73,90,253,1100,531,1562,1437
"","W01001465: Llanhilleth 2 ",274,306,183,297,254,830,593,1161,1270
"","W01001466: Llanhilleth 3 ",400,414,253,628,178,1627,713,793,994
"","W01001467: Nantyglo 1 ",265,280,253,404,119,1048,363,717,1333
"","W01001468: Nantyglo 2 ",375,502,223,486,235,1168,385,701,1207
"","W01001469: Nantyglo 3 ",130,162,97,286,62,598,306,1401,876
"","W01001470: Rassau 1 ",802,912,708,1007,942,467,1402,69,1746
"","W01001471: Rassau 2 ",134,149,120,170,233,918,320,27,1421
"","W01001472: Sirhowy 1 ",1070,1148,708,908,1247,640,1101,871,1714
"","W01001473: Sirhowy 2 ",11,33,10,9,10,618,123,795,1764
"","W01001474: Sirhowy 3 ",328,458,253,411,354,208,797,596,1444
"","W01001475: Sirhowy 4 ",606,913,400,852,512,671,372,402,1301
"","W01001476: Six Bells 1 ",257,293,183,349,243,1280,650,393,467
"","W01001477: Six Bells 2 ",942,818,708,707,993,1572,973,774,1106
"","W01001478: Tredegar Central and West 1 ",742,834,655,831,575,1105,196,815,1047
"","W01001479: Tredegar Central and West 2 ",16,39,22,19,8,1209,39,864,1214
"","W01001480: Tredegar Central and West 3 ",94,114,22,127,213,986,610,1050,1382
"","W01001481: Tredegar Central and West 4 ",238,456,120,121,431,1650,40,769,1573
"Torfaen ","",".",".",".",".",".",".",".",".","."
"Torfaen ","W01001482: Abersychan 1 ",270,324,223,412,201,418,409,1613,1054
"","W01001483: Abersychan 2 ",386,301,253,796,366,961,346,1021,938
"","W01001484: Abersychan 3 ",978,947,782,783,1045,893,455,1333,1380
"","W01001485: Abersychan 4 ",496,501,347,596,384,777,659,1548,1173
"","W01001486: Abersychan 5 ",758,732,585,642,743,1663,299,887,1120
"","W01001487: Blaenavon 1 ",851,706,708,1015,851,854,443,896,1441
"","W01001488: Blaenavon 2 ",150,177,153,48,180,1437,312,1604,730
"","W01001489: Blaenavon 3 ",678,487,522,809,622,1532,591,1355,848
"","W01001490: Blaenavon 4 ",1269,1088,1022,1120,792,1771,444,1813,1165
"","W01001491: Brynwern ",507,563,400,467,299,1634,284,1748,871
"","W01001492: Coed Eva ",1265,1034,1022,1406,1018,655,862,1525,1638
"","W01001493: Croesyceiliog North 1 ",853,855,782,858,750,1124,934,259,805
"","W01001494: Croesyceiliog North 2 ",1658,1339,1221,1517,1263,1449,1388,1358,1711
"","W01001495: Croesyceiliog South ",1662,1411,1327,1129,1382,1549,1187,1420,1637
"","W01001496: Cwmyniscoy ",262,172,223,374,368,810,351,1214,1160
"","W01001497: Fairwater (Torfaen) 1 ",594,467,522,794,351,1568,273,1323,1511
"","W01001498: Fairwater (Torfaen) 2 ",540,281,522,1395,304,1405,387,869,1560
"","W01001499: Fairwater (Torfaen) 3 ",1114,920,1022,1282,778,842,961,965,1233
"","W01001500: Fairwater (Torfaen) 4 ",1641,1770,1560,997,1487,466,1625,1495,1744
"","W01001501: Greenmeadow 1 ",403,315,522,482,193,999,182,1245,1418
"","W01001502: Greenmeadow 2 ",1567,1515,1327,1071,1331,840,1174,1477,1394
"","W01001503: Greenmeadow 3 ",482,319,522,687,280,1233,313,1312,1321
"","W01001504: Llantarnam 1 ",763,738,522,930,747,875,841,588,1299
"","W01001505: Llantarnam 2 ",1393,1426,1447,991,1237,483,1616,568,1425
"","W01001506: Llantarnam 3 ",389,540,153,354,660,1546,509,380,811
"","W01001507: Llanyrafon North ",1449,1168,1022,1249,1259,1488,1425,748,1462
"","W01001508: Llanyrafon South 1 ",1589,1586,1221,888,1679,934,1567,1056,1492
"","W01001509: Llanyrafon South 2 ",1731,1828,1761,1471,1864,552,1846,245,1831
"","W01001510: New Inn 1 ",1170,1002,941,1173,1070,907,859,685,1510
"","W01001511: New Inn 2 ",1003,901,782,897,819,1319,1224,765,997
"","W01001512: New Inn 3 ",1799,1882,1673,1725,1805,679,1855,396,1853
"","W01001513: New Inn 4 ",1664,1864,1560,1709,1595,451,1533,299,1815
"","W01001514: Panteg 1 ",1586,1544,1327,1062,1485,1158,1200,538,1616
"","W01001515: Panteg 2 ",1339,1247,1022,1216,1141,1733,1015,484,757
"","W01001516: Panteg 3 ",559,611,522,361,492,703,671,1100,1367
"","W01001517: Panteg 4 ",1507,1542,1560,944,1400,930,1220,397,995
"","W01001518: Panteg 5 ",1631,1509,1447,1188,1431,739,1084,1546,1796
"","W01001519: Pontnewydd 1 ",182,195,120,174,339,1620,302,268,551
"","W01001520: Pontnewydd 2 ",1008,991,861,981,1119,1166,715,124,1681
"","W01001521: Pontnewydd 3 ",807,692,782,753,671,1608,524,448,1070
"","W01001522: Pontnewydd 4 ",666,545,522,715,666,1353,495,779,1087
"","W01001523: Pontnewynydd ",637,652,585,675,566,541,775,821,1121
"","W01001524: Pontypool ",867,695,585,1055,944,1506,355,818,1361
"","W01001525: St. Cadocs and Penygarn ",362,358,253,597,176,1144,340,1806,917
"","W01001526: St. Dials 1 ",263,210,183,618,295,1214,109,1121,801
"","W01001527: St. Dials 2 ",454,466,347,365,406,1314,402,691,1363
"","W01001528: St. Dials 3 ",704,503,655,829,678,1030,778,1061,843
"","W01001529: Snatchwood ",518,593,400,438,617,1228,326,391,1232
"","W01001530: Trevethin 1 ",37,53,59,14,55,501,87,1784,1164
"","W01001531: Trevethin 2 ",399,498,400,280,444,604,180,981,927
"","W01001532: Two Locks 1 ",378,387,347,323,291,1167,461,802,851
"","W01001533: Two Locks 2 ",1753,1766,1673,1834,1718,274,1623,1648,1770
"","W01001534: Two Locks 3 ",1055,1084,861,1260,808,493,963,922,1782
"","W01001535: Two Locks 4 ",1208,1079,1111,1215,1032,363,1328,1646,1315
"","W01001536: Upper Cwmbran 1 ",115,88,253,30,155,1399,64,1157,802
"","W01001537: Upper Cwmbran 2 ",1366,1451,1111,1227,986,664,1025,1244,1505
"","W01001538: Upper Cwmbran 3 ",352,212,400,348,336,1397,456,1352,440
"","W01001539: Upper Cwmbran 4 ",593,550,585,708,183,1498,582,1641,1200
"","W01001540: Wainfelin 1 ",1312,1191,1022,1075,1062,1539,554,1218,996
"","W01001541: Wainfelin 2 ",715,812,708,816,615,281,1055,995,1216
"Monmouthshire ","",".",".",".",".",".",".",".",".","."
"Monmouthshire ","W01001542: Caerwent ",1635,1714,1673,1723,1633,196,1644,1062,1524
"","W01001543: Caldicot Castle 1 ",1805,1780,1761,1776,1570,601,1771,829,1877
"","W01001544: Caldicot Castle 2 ",1093,928,941,1214,904,1296,572,579,1249
"","W01001545: Cantref 1 ",1606,1738,1560,1089,1845,488,1714,323,1773
"","W01001546: Cantref 2 ",459,302,456,740,413,1317,502,503,509
"","W01001547: Croesonen ",710,669,655,937,818,759,623,182,1387
"","W01001548: Crucorney ",1319,1571,1560,1549,1671,34,1557,1165,1371
"","W01001549: Devauden ",1683,1681,1761,1877,1756,141,1887,1732,1556
"","W01001550: Dewstow & Green Lane 1 ",800,618,708,1070,414,1282,925,1070,1395
"","W01001551: Dewstow & Green Lane 2 ",805,655,655,992,416,1732,854,823,1566
"","W01001552: Dixton with Osbaston ",1814,1865,1761,1886,1866,288,1881,1571,1834
"","W01001553: Drybridge 1 ",1248,1249,1111,1574,1292,323,1100,460,1405
"","W01001554: Drybridge 2 ",1632,1577,1447,1526,1789,1667,696,351,511
"","W01001555: Goetre Fawr 1 ",1764,1885,1845,1851,1808,214,1686,1286,1704
"","W01001556: Goetre Fawr 2 ",1354,1195,1111,1414,1341,342,1254,1643,1836
"","W01001557: Grofield ",934,781,655,1058,1274,1763,737,778,265
"","W01001558: Lansdown ",545,484,347,580,779,1267,512,578,1154
"","W01001559: Larkfield ",1261,1279,1022,1298,865,1003,689,674,1390
"","W01001560: Llanbadoc ",1493,1741,1761,1518,1742,131,1475,385,1257
"","W01001561: Llanelly Hill 1 ",1744,1784,1447,1304,1688,794,1613,966,1768
"","W01001562: Llanelly Hill 2 ",790,1035,708,1196,973,230,328,749,837
"","W01001563: Llanelly Hill 3 ",1423,1087,1022,1183,1207,1138,1384,1750,1658
"","W01001564: Castle & Llanfoist Fawr ",1156,1010,1111,1642,1388,285,725,491,1593
"","W01001565: Llangybi Fawr ",1490,1706,1673,1578,1824,56,1779,1079,1583
"","W01001566: Llanover 1 ",803,1186,522,1474,1627,24,1823,999,1250
"","W01001567: Llanover 2 ",1183,1387,1327,1198,1459,105,1193,637,1340
"","W01001568: Llantilio Crossenny ",1230,1704,1560,1855,1661,2,1867,917,1053
"","W01001569: Llanwenarth Ultra ",1279,1233,1022,1178,1424,388,1112,1168,1544
"","W01001570: Mardy 1 ",286,416,295,316,163,895,537,654,358
"","W01001571: Mardy 2 ",1102,1452,861,1106,1543,153,1341,744,1550
"","W01001572: Mill 1 ",1600,1497,1447,1821,1518,990,1198,112,1816
"","W01001573: Mill 2 ",1704,1796,1761,1768,1574,436,1671,308,1856
"","W01001574: Mill 3 ",1666,1752,1761,1863,1545,578,1608,109,1729
"","W01001575: Mitchel Troy ",1480,1490,1761,1785,1699,98,1168,1189,1044
"","W01001576: Overmonnow 1 ",1187,959,1111,1505,1077,1335,940,118,1122
"","W01001577: Overmonnow 2 ",520,347,522,919,503,1370,555,210,861
"","W01001578: Portskewett ",1676,1585,1560,1803,1404,505,1477,850,1736
"","W01001579: Priory 1 ",1577,1484,1221,1663,1776,1187,473,495,1153
"","W01001580: Priory 2 ",1145,1113,941,967,1222,1181,936,304,1002
"","W01001581: Raglan ",1585,1650,1761,1697,1575,161,1733,797,1451
"","W01001582: Rogiet ",1571,1354,1447,1628,1264,705,1183,812,1475
"","W01001583: St. Arvans ",1515,1734,1673,1617,1647,128,1577,642,1373
"","W01001584: St. Christopher's ",1054,889,1221,1122,791,485,942,973,1273
"","W01001585: St. Kingsmark 1 ",1892,1866,1845,1693,1848,1114,1839,1136,1892
"","W01001586: St. Kingsmark 2 ",1881,1841,1761,1658,1825,1028,1614,1087,1821
"","W01001587: St. Mary's ",1092,1076,941,1231,1378,1604,469,168,464
"","W01001588: Severn 1 ",1626,1620,1560,1588,981,1354,1300,220,1784
"","W01001589: Severn 2 ",750,699,585,959,775,1146,892,151,1385
"","W01001590: Shirenewton ",1742,1809,1761,1778,1843,206,1794,1407,1732
"","W01001591: The Elms ",1743,1838,1845,1882,1830,291,1766,446,1866
"","W01001592: Thornwell 1 ",563,334,655,912,514,564,869,544,1339
"","W01001593: Thornwell 2 ",1122,1094,1111,1540,788,412,1324,601,1118
"","W01001594: Trellech United 1 ",1332,1581,1761,918,1598,60,1821,1338,1450
"","W01001595: Trellech United 2 ",1713,1785,1845,1811,1817,156,1875,1186,1760
"","W01001596: Usk 1 ",1738,1591,1873,1394,1730,1583,1440,99,1514
"","W01001597: Usk 2 ",1783,1727,1673,1839,1826,1036,1649,234,1342
"","W01001598: West End ",630,567,708,657,436,1675,579,222,842
"","W01001599: Wyesham ",1060,962,1111,1396,961,590,1250,221,988
"Newport ","",".",".",".",".",".",".",".",".","."
"Newport ","W01001600: Allt-yr-yn 1 ",1719,1700,1673,1148,1858,693,1386,696,1751
"","W01001601: Allt-yr-yn 2 ",329,154,347,641,371,1111,429,580,832
"","W01001602: Allt-yr-yn 3 ",1725,1548,1447,1522,1881,646,1799,881,1828
"","W01001603: Allt-yr-yn 4 ",908,979,708,418,1534,1502,653,379,1063
"","W01001604: Allt-yr-yn 5 ",1711,1658,1560,1795,1694,690,1161,412,1827
"","W01001605: Allt-yr-yn 6 ",701,661,456,788,1102,1853,447,218,830
"","W01001606: Alway 1 ",1247,1351,1111,1324,1328,577,878,198,1306
"","W01001607: Alway 2 ",65,34,253,111,33,1341,23,92,768
"","W01001608: Alway 3 ",1355,1312,1111,1585,1199,1205,636,187,1654
"","W01001609: Alway 4 ",74,50,120,492,40,1301,50,52,549
"","W01001610: Alway 5 ",420,364,585,784,195,984,101,305,1185
"","W01001611: Alway 6 ",863,672,861,1345,765,1809,336,169,762
"","W01001612: Beechwood 1 ",850,787,708,741,1130,1661,347,333,822
"","W01001613: Beechwood 2 ",1311,1140,1111,1142,1244,1694,604,261,1523
"","W01001614: Beechwood 3 ",332,273,183,643,513,668,237,1436,1029
"","W01001615: Beechwood 4 ",895,689,861,1093,841,833,268,1239,1472
"","W01001616: Beechwood 5 ",1514,1211,1022,1503,1407,1246,1036,1257,1460
"","W01001617: Bettws (Newport) 1 ",126,106,73,606,84,1595,72,1151,399
"","W01001618: Bettws (Newport) 2 ",197,191,253,431,106,1012,95,898,351
"","W01001619: Bettws (Newport) 3 ",139,155,183,221,87,1164,52,1321,292
"","W01001620: Bettws (Newport) 4 ",258,134,295,685,311,869,177,1130,417
"","W01001621: Bettws (Newport) 5 ",266,267,295,320,160,1461,164,1433,484
"","W01001622: Bettws (Newport) 6 ",597,671,782,251,501,1406,442,1153,416
"","W01001623: Caerleon 1 ",1661,1543,1560,1158,1822,1602,876,225,1625
"","W01001624: Caerleon 2 ",1737,1867,1845,1451,1840,299,1657,849,1759
"","W01001625: Caerleon 3 ",1693,1671,1673,1700,1863,626,962,317,1634
"","W01001626: Caerleon 4 ",1495,1155,1111,1423,1622,1016,1230,620,1774
"","W01001627: Caerleon 5 ",1700,1781,1560,1735,1809,592,1494,241,1837
"","W01001628: Caerleon 6 ",1388,1017,1327,998,1428,1427,1221,342,1693
"","W01001629: Gaer 1 ",1284,1296,1327,782,1076,1218,924,236,1571
"","W01001630: Gaer 2 ",336,211,183,625,630,1468,384,318,1316
"","W01001631: Gaer 3 ",1643,1277,1327,1365,1297,1551,1360,1071,1660
"","W01001632: Gaer 4 ",511,321,585,588,536,1099,810,216,1507
"","W01001633: Gaer 5 ",211,110,347,246,244,1268,315,175,1105
"","W01001634: Gaer 6 ",561,438,782,870,396,1310,535,30,1291
"","W01001635: Graig (Newport) 1 ",1618,1625,1560,1817,1854,409,1854,160,1750
"","W01001636: Graig (Newport) 2 ",1558,1829,1845,1775,1796,310,1474,37,1700
"","W01001637: Graig (Newport) 3 ",1458,1217,1447,1550,1668,1005,1048,63,1757
"","W01001638: Graig (Newport) 4 ",1684,1846,1761,1867,1846,500,1621,72,1883
"","W01001639: Langstone 1 ",1715,1851,1845,1866,1749,261,1467,492,1852
"","W01001640: Langstone 2 ",1709,1746,1673,1878,1816,178,1790,1430,1807
"","W01001641: Langstone 3 ",1611,1617,1327,1887,1833,207,1520,1362,1842
"","W01001642: Liswerry 1 ",304,295,400,487,591,1256,204,12,256
"","W01001643: Liswerry 2 ",177,101,400,371,301,1338,128,4,201
"","W01001644: Liswerry 3 ",461,472,655,838,475,1343,212,3,301
"","W01001645: Liswerry 4 ",572,535,861,934,520,964,448,23,444
"","W01001646: Liswerry 5 ",127,98,120,559,198,973,118,1,1326
"","W01001647: Liswerry 6 ",1254,1562,1327,1489,1343,497,1530,8,1229
"","W01001648: Liswerry 7 ",794,828,941,874,1021,1501,432,2,894
"","W01001649: Llanwern 1 ",947,1043,941,1306,1037,202,1562,271,1473
"","W01001650: Llanwern 2 ",513,516,655,233,375,985,880,1365,654
"","W01001651: Malpas 1 ",1851,1759,1673,1661,1538,1095,1602,1135,1737
"","W01001652: Malpas 2 ",142,78,153,479,74,1443,97,851,1347
"","W01001653: Malpas 3 ",1717,1649,1447,1686,1314,980,1483,676,1686
"","W01001654: Malpas 4 ",1637,1407,1447,1384,1087,1637,1156,782,1480
"","W01001655: Malpas 5 ",1459,1469,1447,546,1403,1307,1256,669,1285
"","W01001656: Marshfield 1 ",1255,1496,1560,1269,1413,242,1521,51,1596
"","W01001657: Marshfield 2 ",1695,1871,1873,1830,1769,228,1319,500,1817
"","W01001658: Marshfield 3 ",1292,1487,1560,660,1492,471,909,311,1428
"","W01001659: Pillgwenlly 1 ",28,27,59,47,107,1750,43,59,143
"","W01001660: Pillgwenlly 2 ",368,235,585,603,345,1606,379,24,495
"","W01001661: Pillgwenlly 3 ",20,7,49,114,61,1592,131,28,83
"","W01001662: Pillgwenlly 4 ",27,31,40,60,92,1823,48,76,190
"","W01001663: Ringland 1 ",557,369,655,950,363,1359,304,810,586
"","W01001664: Ringland 2 ",200,145,223,478,130,1699,262,334,418
"","W01001665: Ringland 3 ",634,546,861,351,875,603,774,386,1226
"","W01001666: Ringland 4 ",158,163,295,305,76,1014,82,638,194
"","W01001667: Ringland 5 ",100,67,120,449,90,1133,150,528,146
"","W01001668: Ringland 6 ",159,192,183,470,139,1153,24,127,502
"","W01001669: Rogerstone 1 ",1788,1890,1845,1874,1894,356,1583,570,1893
"","W01001670: Rogerstone 2 ",1615,1697,1761,1730,1806,492,1635,53,1865
"","W01001671: Rogerstone 3 ",538,582,585,367,901,896,665,44,1404
"","W01001672: Rogerstone 4 ",1152,1044,1111,1113,1392,897,1435,57,1424
"","W01001673: Rogerstone 5 ",1690,1819,1673,1442,1847,544,1383,267,1812
"","W01001674: Rogerstone 6 ",955,790,782,1336,1042,1140,864,134,1558
"","W01001675: St. Julians 1 ",1104,934,1022,1167,1221,1877,520,195,680
"","W01001676: St. Julians 2 ",444,357,585,696,541,1624,201,34,407
"","W01001677: St. Julians 3 ",1442,1324,1327,1675,1073,1092,950,272,1142
"","W01001678: St. Julians 4 ",582,509,522,1133,868,643,96,400,966
"","W01001679: St. Julians 5 ",1593,1343,1327,1560,1501,1433,483,585,1618
"","W01001680: St. Julians 6 ",1390,963,1111,1590,1374,1865,822,312,1471
"","W01001681: Shaftesbury 1 ",239,251,295,321,425,1331,169,45,291
"","W01001682: Shaftesbury 2 ",632,421,782,1104,506,808,877,139,1499
"","W01001683: Shaftesbury 3 ",1086,1047,1111,1050,1175,1079,900,131,797
